PERIMETER,MUNIG_,MUNIG_ID,ADM1CODE,ADM2CODE,ADM1NAME,ADM2NAME,DIRTFL_PC,ROOM1_PC,WATER_PC,PLUMB_PC,ELECT_PC,PHONE_PC,MEANILIT15,MEANSELE15,MEANCELE15,MEANSSEC15,MEANCSEC15,ACCESO,RURPER,FGT_0RUR00,FGT_0RUR02,MEANY2000,MEANY2002,POPDENS,FOODEXP
7.58000,2.00000,1473.00000,02,002,Baja California,Mexicali,0.23618,0.09345,0.49012,0.28382,0.81011,0.27436,0.19049,0.61198,0.48813,0.17528,0.46222,58.89280,13.92136,0.25000,0.15,1182.77,1570.73,58.28152,292.66000
3.54300,3.00000,1472.00000,02,003,Baja California,Tecate,0.34500,0.11702,0.36808,0.47265,0.54608,0.19232,0.14044,0.39454,0.44129,0.16153,0.30352,51.86154,21.54637,0.29000,0.18,1091.82,1522.56,21.19204,295.80999
2.62200,4.00000,1474.00000,02,004,Baja California,Tijuana,0.37351,0.10026,0.16685,0.38665,0.53881,0.19533,0.12137,0.41066,0.41651,0.14592,0.36481,38.47887,1.16747,0.26000,0.15,1294.15,1609.91,1078.53824,314.26000
5.21600,5.00000,1617.00000,26,055,Sonora,San Luis R?o Colorado,0.26193,0.16210,0.64511,0.28395,0.89633,0.17656,0.31897,0.87619,0.58677,0.16941,0.33834,54.76238,7.24384,0.33000,0.28,858.85,924.26,16.05174,244.77999
1.30700,6.00000,1475.00000,02,005,Baja California,Playas de Rosarito,0.36275,0.12685,0.23809,0.47801,0.53886,0.23656,0.06989,0.47552,0.49291,0.09368,0.31033,81.04348,10.80574,0.27000,0.17,1218.79,1575.77,122.64224,320.30999
18.95100,7.00000,1476.00000,02,001,Baja California,Ensenada,0.29633,0.17139,0.47198,0.38483,0.59259,0.17312,0.23067,0.51700,0.40829,0.15175,0.30390,62.76042,17.57964,0.29000,0.18,1059.56,1426.65,6.93422,282.39001
7.54800,8.00000,1618.00000,26,048,Sonora,Puerto Peñasco,0.13029,0.00000,0.75019,0.64949,0.92088,0.53407,0.02979,0.51881,0.49907,0.17725,0.26161,64.33333,2.21780,0.21000,0.18,1320.30,1431.43,5.02483,325.05999
3.90500,9.00000,1598.00000,26,070,Sonora,General Plutarco El?as Ca,0.43270,0.16168,0.38529,0.21223,0.63416,0.04764,0.27424,0.95986,0.47533,0.26760,0.17457,76.68182,18.21245,0.39000,0.36,724.59,758.34,3.02860,222.08999
5.56500,10.00000,2260.00000,08,005,Chihuahua,Ascensi?n,0.09392,0.11556,0.74867,0.44479,0.48306,0.14534,0.06160,0.50344,1.52470,0.11430,0.29704,296.82609,26.81526,0.30000,0.30,949.19,937.96,1.69014,192.22999
3.16300,11.00000,2259.00000,08,037,Chihuahua,Juárez,0.36402,0.27612,0.31738,0.39345,0.39176,0.16354,0.18303,0.53546,0.44505,0.10309,0.22438,129.04762,0.72751,0.31000,0.25,1018.02,1072.07,338.65364,213.27999
