ESTADOS,POBLACION RURAL (MEDIA)
Oaxaca,83.33353801056337
Chihuahua,75.04229867924528
Durango,72.29993562499999
Chiapas,68.67284822033898
San Luis Potosí,67.71938509803923
Querétaro de Arteaga,66.95240000000001
Hidalgo,66.47575064102563
Sonora,66.35300174603175
Guerrero,66.05872184210526
Zacatecas,64.6002672
Puebla,62.16538028436019
Veracruz-Llave,60.658146138613866
Tabasco,56.52005529411765
Tamaulipas,54.45963125
Sinaloa,53.854745
Nayarit,53.49110294117648
Michoacán de Ocampo,52.6211037735849
Guanajuato,52.05681906976746
Nuevo León,50.6946611904762
Aguascalientes,47.9836
Jalisco,47.53295699115044
Campeche,45.14154727272727
Yucatán,43.651268584905665
México,37.717352033898315
Coahuila de Zaragoza,32.561805
Quintana Roo,29.930781666666665
Tlaxcala,28.074632857142856
Morelos,27.5421659375
Baja California Sur,27.108233333333335
Colima,26.854946249999998
Baja California,13.004116
Distrito Federal,0.7309364285714287
