ESTADOS,MUNICIPIOS,ACCESO (min)
Aguascalientes,El Llano,85.34848000000001
Aguascalientes,San Jos? de Gracia,68.125
Aguascalientes,Asientos,57.746669999999995
Baja California,Playas de Rosarito,81.04348
Baja California,Ensenada,62.760419999999996
Baja California,Mexicali,58.8928
Baja California Sur,Muleg?,221.65573999999998
Baja California Sur,Comondú,164.32911000000001
Baja California Sur,Los Cabos,99.24786
Campeche,Candelaria,475.03247000000005
Campeche,Calakmul,425.8913
Campeche,Carmen,187.54206000000002
Chiapas,Maravilla Tenejapa,1145.0869599999999
Chiapas,Marqu?s de Comillas,623.4583299999999
Chiapas,Benem?rito de las Am?rica,528.68182
Chihuahua,Guazapares,1220.31126
Chihuahua,Uruachi,1179.32075
Chihuahua,Ch?nipas,1156.91549
Coahuila de Zaragoza,Acuña,342.71429
Coahuila de Zaragoza,Sierra Mojada,221.23529
Coahuila de Zaragoza,Saltillo,205.1913
Colima,Ixtlahuacán,273.0
Colima,Coquimatlán,127.22222
Colima,Manzanillo,109.45455
Distrito Federal,La Magdalena Contreras,100.25
Distrito Federal,?lvaro Obreg?n,65.25
Distrito Federal,Tlalpan,37.08333
Durango,Otáez,1024.3541699999998
Durango,Topia,940.1623900000001
Durango,Canelas,775.01449
Guanajuato,Xichú,397.53846
Guanajuato,Atarjea,347.0
Guanajuato,Victoria,163.37069
Guerrero,Ajuchitlán del Progreso,419.88570999999996
Guerrero,San Miguel Totolapan,417.54667
Guerrero,Metlat?noc,397.86667
Hidalgo,Tlahuiltepa,376.5
Hidalgo,Pacula,295.58065
Hidalgo,Tianguistengo,267.22033999999996
Jalisco,Bolaños,514.76119
Jalisco,San Sebastián del Oeste,506.97778
Jalisco,Mezquitic,505.74026
Michoacán de Ocampo,Aquila,382.34071
Michoacán de Ocampo,Coalcomán de Vázquez Pall,331.38119
Michoacán de Ocampo,Madero,273.22024
Morelos,Tlaquiltenango,82.74286
Morelos,Tlalnepantla,65.0
Morelos,Tepalcingo,53.5625
México,Temascaltepec,180.4375
México,Tlatlaya,169.10976000000002
México,Sultepec,151.31646
Nayarit,Del Nayar,704.43682
Nayarit,Huajicori,502.75
Nayarit,La Yesca,469.66667
Nuevo León,Rayones,712.10638
Nuevo León,General Zaragoza,603.4920599999999
Nuevo León,Iturbide,380.48387
Oaxaca,San Juan Yatzona,1027.0
Oaxaca,Santo Domingo Roayaga,965.5
Oaxaca,Villa Talea de Castro,960.8
Puebla,San Sebastián Tlacotepec,313.25926
Puebla,Eloxochitlán,250.84211000000002
Puebla,Ixcamilpa de Guerrero,227.2
Querétaro de Arteaga,Pinal de Amoles,275.18675
Querétaro de Arteaga,San Joaqu?n,246.84
Querétaro de Arteaga,Landa de Matamoros,243.12222000000003
Quintana Roo,Oth?n P. Blanco,250.35606
Quintana Roo,Jos? Mar?a Morelos,227.84127
Quintana Roo,Felipe Carrillo Puerto,163.17347
San Luis Potosí,Catorce,247.08696
San Luis Potosí,Alaquines,185.8
San Luis Potosí,San Nicolás Tolentino,185.57576
Sinaloa,Badiraguato,526.02949
Sinaloa,Choix,315.10233
Sinaloa,San Ignacio,287.51034
Sonora,Nácori Chico,495.2
Sonora,Bacerac,478.8
Sonora,Sahuaripa,415.16667
Tabasco,Balancán,213.02151
Tabasco,Tenosique,206.71795
Tabasco,Jonuta,189.26086999999998
Tamaulipas,Palmillas,323.33333
Tamaulipas,Guerrero,284.4
Tamaulipas,Miquihuana,253.45455
Tlaxcala,Atlangatepec,86.1
Tlaxcala,Españita,83.57895
Tlaxcala,Tlaxcala,73.0
Veracruz-Llave,Uxpanapa,926.3720900000001
Veracruz-Llave,Texcatepec,521.2
Veracruz-Llave,Las Choapas,411.50768999999997
Yucatán,R?o Lagartos,314.0
Yucatán,Dzilam González,297.5
Yucatán,Buctzotz,195.25
Zacatecas,Jim?nez del Teul,351.625
Zacatecas,El Salvador,305.0
Zacatecas,Mazapil,247.9596
