ESTADOS,MUNICIPIOS,POBREZA ALIMENTARIA 2000,POBREZA ALIMENTARIA 2002,DIFERENCIA
Aguascalientes,San Francisco de los Romo,27.0,21.0,6.0
Aguascalientes,Asientos,31.0,28.000000000000004,2.9999999999999964
Baja California,Tijuana,26.0,15.0,11.0
Baja California,Playas de Rosarito,27.0,17.0,10.0
Baja California Sur,Los Cabos,15.0,12.0,3.0
Baja California Sur,Muleg?,21.0,20.0,1.0
Campeche,Carmen,47.0,37.0,10.0
Campeche,Calakmul,56.99999999999999,55.00000000000001,1.9999999999999858
Chiapas,Uni?n Juárez,61.0,52.0,9.0
Chiapas,Maravilla Tenejapa,64.0,72.0,-8.0
Chihuahua,Santa Bárbara,31.0,23.0,8.0
Chihuahua,Ch?nipas,39.0,49.0,-10.0
Coahuila de Zaragoza,Sacramento,27.0,21.0,6.0
Coahuila de Zaragoza,Piedras Negras,0.0,0.0,0.0
Colima,Comala,38.0,30.0,8.0
Colima,Ixtlahuacán,35.0,31.0,4.0
Distrito Federal,Milpa Alta,33.0,18.0,15.0
Distrito Federal,Gustavo A. Madero,0.0,0.0,0.0
Durango,Nombre de Dios,34.0,31.0,3.0
Durango,Otáez,44.0,54.0,-10.0
Guanajuato,Celaya,36.0,25.0,11.0
Guanajuato,Xichú,49.0,46.0,3.0
Guerrero,Pungarabato,28.999999999999996,28.000000000000004,0.9999999999999929
Guerrero,Metlat?noc,56.99999999999999,67.0,-10.000000000000007
Hidalgo,San Salvador,40.0,31.0,9.0
Hidalgo,Xochiatipan,56.99999999999999,55.00000000000001,1.9999999999999858
Jalisco,Tuxcueca,31.0,20.0,11.0
Jalisco,Guadalajara,3.0,5.0,-2.0
Michoacán de Ocampo,Erongar?cuaro,46.0,31.0,15.0
Michoacán de Ocampo,Aquila,54.0,50.0,4.0
Morelos,Totolapan,36.0,20.0,16.0
Morelos,Jiutepec,19.0,10.0,9.0
México,Mexicaltzingo,30.0,23.0,7.0
México,Chimalhuacán,7.000000000000001,10.0,-2.999999999999999
Nayarit,Santiago Ixcuintla,35.0,27.0,8.0
Nayarit,Del Nayar,59.0,63.0,-4.0
Nuevo León,General Zuazua,26.0,20.0,6.0
Nuevo León,Rayones,32.0,36.0,-4.0
Oaxaca,Guelatao de Juárez,40.0,25.0,15.0
Oaxaca,San Sim?n Zahuatlán,68.0,72.0,-4.0
Puebla,Zapotitlán de M?ndez,59.0,46.0,13.0
Puebla,Tlaltenango,0.0,0.0,0.0
Querétaro de Arteaga,Pedro Escobedo,36.0,21.0,15.0
Querétaro de Arteaga,Pinal de Amoles,49.0,40.0,9.0
Quintana Roo,Solidaridad,40.0,25.0,15.0
Quintana Roo,Cozumel,0.0,0.0,0.0
San Luis Potosí,Cerro de San Pedro,37.0,28.000000000000004,8.999999999999996
San Luis Potosí,Aquism?n,57.99999999999999,56.00000000000001,1.9999999999999858
Sinaloa,Escuinapa,31.0,31.0,0.0
Sinaloa,Badiraguato,39.0,46.0,-7.0
Sonora,Naco,26.0,20.0,6.0
Sonora,Alamos,40.0,43.0,-3.0
Tabasco,Jalpa de M?ndez,46.0,37.0,9.0
Tabasco,Jonuta,50.0,46.0,4.0
Tamaulipas,Nuevo Laredo,32.0,23.0,9.0
Tamaulipas,Ciudad Madero,0.0,0.0,0.0
Tlaxcala,Calpulalpan,38.0,31.0,7.0
Tlaxcala,Tlaxcala,30.0,31.0,-1.0
Veracruz-Llave,Oteapan,35.0,25.0,10.0
Veracruz-Llave,Uxpanapa,52.0,60.0,-8.0
Yucatán,Huh?,50.0,31.0,19.0
Yucatán,Telchac Puerto,0.0,0.0,0.0
Zacatecas,Vetagrande,28.000000000000004,21.0,7.0000000000000036
Zacatecas,Jim?nez del Teul,42.0,41.0,1.0
